lat,lon,deltaT,scenario
-88.57216851400727,0.0,0.59213257,Low Emissions
-88.57216851400727,1.875,0.6351013,Low Emissions
-88.57216851400727,3.75,0.63882446,Low Emissions
-88.57216851400727,5.625,0.6422577,Low Emissions
-88.57216851400727,7.5,0.6435547,Low Emissions
-88.57216851400727,9.375,0.59750366,Low Emissions
-88.57216851400727,11.25,0.6857147,Low Emissions
-88.57216851400727,13.125,0.67626953,Low Emissions
-88.57216851400727,15.0,0.66503906,Low Emissions
-88.57216851400727,16.875,0.6266327,Low Emissions
-88.57216851400727,18.75,0.64501953,Low Emissions
-88.57216851400727,20.625,0.66552734,Low Emissions
-88.57216851400727,22.5,0.68685913,Low Emissions
-88.57216851400727,24.375,0.6516876,Low Emissions
-88.57216851400727,26.25,0.67904663,Low Emissions
-88.57216851400727,28.125,0.70539856,Low Emissions
-88.57216851400727,30.0,0.72346497,Low Emissions
-88.57216851400727,31.875,0.7130585,Low Emissions
-88.57216851400727,33.75,0.72280884,Low Emissions
-88.57216851400727,35.625,0.7010193,Low Emissions
-88.57216851400727,37.5,0.7584686,Low Emissions
-88.57216851400727,39.375,0.7902069,Low Emissions
-88.57216851400727,41.25,0.75276184,Low Emissions
-88.57216851400727,43.125,0.7294922,Low Emissions
-88.57216851400727,45.0,0.731781,Low Emissions
-88.57216851400727,46.875,0.6928711,Low Emissions
-88.57216851400727,48.75,0.68717957,Low Emissions
-88.57216851400727,50.625,0.72021484,Low Emissions
-88.57216851400727,52.5,0.63671875,Low Emissions
-88.57216851400727,54.375,0.6381836,Low Emissions
-88.57216851400727,56.25,0.6482849,Low Emissions
-88.57216851400727,58.125,0.6305237,Low Emissions
-88.57216851400727,60.0,0.6455078,Low Emissions
-88.57216851400727,61.875,0.62223816,Low Emissions
-88.57216851400727,63.75,0.60498047,Low Emissions
-88.57216851400727,65.625,0.63638306,Low Emissions
-88.57216851400727,67.5,0.63168335,Low Emissions
-88.57216851400727,69.375,0.64289856,Low Emissions
-88.57216851400727,71.25,0.5875702,Low Emissions
-88.57216851400727,73.125,0.5834961,Low Emissions
-88.57216851400727,75.0,0.5978241,Low Emissions
-88.57216851400727,76.875,0.5677185,Low Emissions
-88.57216851400727,78.75,0.5584259,Low Emissions
-88.57216851400727,80.625,0.56347656,Low Emissions
-88.57216851400727,82.5,0.564621,Low Emissions
-88.57216851400727,84.375,0.5498047,Low Emissions
-88.57216851400727,86.25,0.56103516,Low Emissions
-88.57216851400727,88.125,0.54997253,Low Emissions
-88.57216851400727,90.0,0.54460144,Low Emissions
-88.57216851400727,91.875,0.5485077,Low Emissions
-88.57216851400727,93.75,0.5543518,Low Emissions
-88.57216851400727,95.625,0.5625,Low Emissions
-88.57216851400727,97.5,0.5789337,Low Emissions
-88.57216851400727,99.375,0.5625,Low Emissions
-88.57216851400727,101.25,0.6017151,Low Emissions
-88.57216851400727,103.125,0.5857849,Low Emissions
-88.57216851400727,105.0,0.5722656,Low Emissions
-88.57216851400727,106.875,0.57177734,Low Emissions
-88.57216851400727,108.75,0.5805664,Low Emissions
-88.57216851400727,110.625,0.53596497,Low Emissions
-88.57216851400727,112.5,0.55908203,Low Emissions
-88.57216851400727,114.375,0.56640625,Low Emissions
-88.57216851400727,116.25,0.56607056,Low Emissions
-88.57216851400727,118.125,0.5649414,Low Emissions
-88.57216851400727,120.0,0.60139465,Low Emissions
-88.57216851400727,121.875,0.5983124,Low Emissions
-88.57216851400727,123.75,0.6173401,Low Emissions
-88.57216851400727,125.625,0.6082306,Low Emissions
-88.57216851400727,127.5,0.60920715,Low Emissions
-88.57216851400727,129.375,0.6048126,Low Emissions
-88.57216851400727,131.25,0.63931274,Low Emissions
-88.57216851400727,133.125,0.61376953,Low Emissions
-88.57216851400727,135.0,0.6360626,Low Emissions
-88.57216851400727,136.875,0.63801575,Low Emissions
-88.57216851400727,138.75,0.6492462,Low Emissions
-88.57216851400727,140.625,0.6730194,Low Emissions
-88.57216851400727,142.5,0.6772461,Low Emissions
-88.57216851400727,144.375,0.68310547,Low Emissions
-88.57216851400727,146.25,0.6800232,Low Emissions
-88.57216851400727,148.125,0.6976013,Low Emissions
-88.57216851400727,150.0,0.7151642,Low Emissions
